topmed_label	variable_phv	label	tag_id
HDL in blood	82952	 hdl1	2
HDL in blood	84972	 hdl1	2
HDL in blood	87099	 hdlf	2
LDL in blood	82951	 ldl1	1
LDL in blood	84971	 ldl1	1
LDL in blood	87098	 ldlf	1
Triglycerides in blood	87101	 trigf	3
Triglycerides in blood	82950	 trig1	3
Triglycerides in blood	84968	 trig1	3
Total cholesterol in blood	84974	 chol1	4
Total cholesterol in blood	82956	 chol1	4
Total cholesterol in blood	87100	 cholf	4
LDL in blood	253017	 ldl_baseline	1
LDL in blood	125931	 LDLC	1
LDL in blood	126042	 LDL01SI	1
LDL in blood	126047	 LDL01F	1
HDL in blood	126041	 HDL01SI	2
HDL in blood	126046	 HDL01F	2
HDL in blood	125930	 HDLC	2
HDL in blood	253018	 hdl_baseline	2
HDL in blood	277575	 HDL	2
HDL in blood	307856	 HDL	2
Triglycerides in blood	125933	 TRR	3
Triglycerides in blood	277574	 TRIG	3
Triglycerides in blood	126043	 TRG01SI	3
Triglycerides in blood	126048	 TRG01F	3
Triglycerides in blood	253019	 trigs_baseline	3
Triglycerides in blood	307855	 TRIG	3
Total cholesterol in blood	126040	 TCL01SI	4
Total cholesterol in blood	126045	 TCL01F	4
Total cholesterol in blood	125927	 CHR	4
Total cholesterol in blood	253020	 totchol_baseline	4
Total cholesterol in blood	277573	 CHOL	4
Total cholesterol in blood	307854	 CHOL	4
Triglycerides in blood	204738	 TRGSIU01	3
HDL in blood	204761	 HDL01	2
Total cholesterol in blood	204735	 TCHSIU01	4
LDL in blood	204764	 LDL02	1
Triglycerides in blood	100425	 TRIG44	3
Total cholesterol in blood	100491	 CHOLADJ	4
HDL in blood	100426	 HDL44	2
LDL in blood	100492	 LDLADJ	1
Triglycerides in blood	123974	 triglyceride	3
Total cholesterol in blood	123953	 cholesterol	4
HDL in blood	123968	 hdl	2
Triglycerides in blood	258736	 NetTG	3
HDL in blood	258743	 HDL_C	2
Total cholesterol in blood	258733	 Cholesterol	4
LDL in blood	258740	 LDL_C	1
LDL in blood	123971	 ldl	1
Resting arm systolic BP	226390	 SBPA5	7
Resting arm diastolic BP	226391	 SBPA6	8
Resting arm diastolic BP	259053	 DBP	8
Resting arm systolic BP	259052	 SBP	7
Resting arm diastolic BP	258704	 Diastolic_BP_Av3	8
Resting arm diastolic BP	258703	 Diastolic_BP	8
Resting arm systolic BP	258702	 Systolic_BP_Av3	7
Resting arm systolic BP	258701	 Systolic_BP	7
Resting arm systolic BP	252995	 sbp_baseline	7
Resting arm diastolic BP	252996	 dbp_baseline	8
Resting arm systolic BP	122561	 SYS1	7
Resting arm systolic BP	122563	 SYS2	7
Resting arm systolic BP	122647	 mnsys	7
Resting arm diastolic BP	122562	 DIAS1	8
Resting arm diastolic BP	122564	 DIAS2	8
Resting arm diastolic BP	122648	 mndias	8
Resting arm systolic BP	100435	 AVZMSYS	7
Resting arm diastolic BP	100436	 AVZMDIA	8
LDL in blood	193862	 TESTVAL	1
HDL in blood	193862	 TESTVAL	2
Triglycerides in blood	193862	 TESTVAL	3
Total cholesterol in blood	193862	 TESTVAL	4
LDL in blood	282937	 TESTNAME	1
HDL in blood	282937	 TESTNAME	2
Triglycerides in blood	282937	 TESTNAME	3
Total cholesterol in blood	282937	 TESTNAME	4
Resting arm systolic BP	112494	 A02SBP	7
Resting arm diastolic BP	112495	 A02DBP	8
BMI	126013	 BMI01	14
Resting arm systolic BP	128370	 SBPA13	7
Resting arm systolic BP	128372	 SBPA15	7
Resting arm systolic BP	128373	 SBPA16	7
Resting arm systolic BP	128375	 SBPA18	7
Resting arm systolic BP	128376	 SBPA19	7
Resting arm diastolic BP	128371	 SBPA14	8
Resting arm diastolic BP	128372	 SBPA15	8
Resting arm diastolic BP	128374	 SBPA17	8
Resting arm diastolic BP	128375	 SBPA18	8
Resting arm diastolic BP	128377	 SBPA20	8
Height	125860	 antv1	12
Weight	125861	 antv2	13
Waist circumference	125862	 antv3a	15
Resting arm systolic BP	125871	 BAPA9A	7
Resting arm diastolic BP	125872	 BAPA9B	8
Resting arm systolic BP	125876	 BAPA10A	7
Resting arm systolic BP	125881	 BAPA11A	7
Resting arm systolic BP	125886	 BAPA12A	7
Resting arm systolic BP	125891	 BAPA13A	7
Resting arm systolic BP	125896	 BAPA14A	7
Resting arm diastolic BP	125877	 BAPA10B	8
Resting arm diastolic BP	125882	 BAPA11B	8
Resting arm diastolic BP	125887	 BAPA12B	8
Resting arm diastolic BP	125892	 BAPA13B	8
Resting arm diastolic BP	125897	 BAPA14B	8
Other stroke	128093	 PFHA5A	20
Other stroke	128094	 PFHA5B	20
Other stroke	128395	 SSFA1	20
Other stroke	128396	 SSFA2	20
BMI	56588	 BMI_s1	14
BMI	56833	 bmi_s2	14
BMI	277024	 BMI1	14
BMI	277025	 BMI2	14
BMI	277095	 BMI1	14
BMI	277096	 BMI2	14
BMI	277097	 BMI3	14
BMI	277098	 BMI4	14
BMI	277099	 BMI5	14
BMI	277100	 BMI6	14
BMI	277101	 BMI7	14
BMI	277102	 BMI8	14
BMI	277103	 BMI9	14
BMI	4077	 FL517	14
BMI	4521	 FM537	14
BMI	4933	 FN505	14
BMI	5554	 FO726	14
BMI	6023	 FP590	14
BMI	6323	 FQ392	14
BMI	6657	 FR432	14
BMI	7092	 FS537	14
BMI	7531	 FT537	14
BMI	8735	 C448	14
BMI	9118	 D443	14
BMI	9570	 E662	14
BMI	10130	 F719	14
BMI	10691	 G709	14
BMI	70735	 FU580	14
Resting arm diastolic BP	529	 MF57	8
Resting arm diastolic BP	531	 MF59	8
Resting arm diastolic BP	533	 MF61	8
Resting arm diastolic BP	621	 MF155	8
Resting arm diastolic BP	623	 MF157	8
Resting arm diastolic BP	625	 MF159	8
Resting arm diastolic BP	641	 MF175	8
Resting arm diastolic BP	643	 MF177	8
Resting arm diastolic BP	645	 MF179	8
Resting arm diastolic BP	720	 MF265	8
Resting arm diastolic BP	722	 MF267	8
Resting arm diastolic BP	758	 MF306	8
Resting arm diastolic BP	760	 MF308	8
Resting arm diastolic BP	762	 MF310	8
Resting arm diastolic BP	834	 MF385	8
Resting arm diastolic BP	836	 MF387	8
Resting arm diastolic BP	838	 MF389	8
Resting arm diastolic BP	919	 MF477	8
Resting arm diastolic BP	921	 MF479	8
Resting arm diastolic BP	923	 MF481	8
Resting arm diastolic BP	1042	 FA8	8
Resting arm diastolic BP	1044	 FA10	8
Resting arm diastolic BP	1046	 FA12	8
Resting arm diastolic BP	1196	 FB19	8
Resting arm diastolic BP	1198	 FB21	8
Resting arm diastolic BP	1200	 FB23	8
Resting arm diastolic BP	1371	 FC13	8
Resting arm diastolic BP	1373	 FC15	8
Resting arm diastolic BP	1375	 FC17	8
Resting arm diastolic BP	1568	 FD21	8
Resting arm diastolic BP	1570	 FD23	8
Resting arm diastolic BP	1572	 FD25	8
Resting arm diastolic BP	1810	 FE74	8
Resting arm diastolic BP	1812	 FE76	8
Resting arm diastolic BP	1814	 FE78	8
Resting arm diastolic BP	2025	 FF70	8
Resting arm diastolic BP	2027	 FF72	8
Resting arm diastolic BP	2029	 FF74	8
Resting arm diastolic BP	2209	 FG69	8
Resting arm diastolic BP	2211	 FG71	8
Resting arm diastolic BP	2213	 FG73	8
Resting arm diastolic BP	2430	 FH69	8
Resting arm diastolic BP	2432	 FH71	8
Resting arm diastolic BP	2434	 FH73	8
Resting arm diastolic BP	2674	 FI22	8
Resting arm diastolic BP	2676	 FI24	8
Resting arm diastolic BP	2678	 FI26	8
Resting arm diastolic BP	2948	 FJ5	8
Resting arm diastolic BP	3173	 FJ271	8
Resting arm diastolic BP	3177	 FJ275	8
Resting arm diastolic BP	3247	 FJ367	8
Resting arm diastolic BP	3307	 FK56	8
Resting arm diastolic BP	3317	 FK69	8
Resting arm diastolic BP	3592	 FK370	8
Resting arm diastolic BP	3676	 FL022	8
Resting arm diastolic BP	3689	 FL292	8
Resting arm diastolic BP	3691	 FL389	8
Resting arm diastolic BP	4092	 FM32	8
Resting arm diastolic BP	4107	 FM332	8
Resting arm diastolic BP	4109	 FM428	8
Resting arm diastolic BP	4534	 FN22	8
Resting arm diastolic BP	4547	 FN311	8
Resting arm diastolic BP	4549	 FN405	8
Resting arm diastolic BP	5139	 FO330	8
Resting arm diastolic BP	5229	 FO425	8
Resting arm diastolic BP	5549	 FO021	8
Resting arm diastolic BP	5767	 FP297	8
Resting arm diastolic BP	5856	 FP391	8
Resting arm diastolic BP	5935	 FP026	8
Resting arm diastolic BP	6042	 FQ014	8
Resting arm diastolic BP	6044	 FQ018	8
Resting arm diastolic BP	6251	 FQ305	8
Resting arm diastolic BP	6253	 FQ309	8
Resting arm diastolic BP	6337	 FR014	8
Resting arm diastolic BP	6513	 FR240	8
Resting arm diastolic BP	6608	 FR381	8
Resting arm diastolic BP	6681	 FS016	8
Resting arm diastolic BP	6922	 FS313	8
Resting arm diastolic BP	7042	 FS480	8
Resting arm diastolic BP	7111	 FT019	8
Resting arm diastolic BP	7475	 FT484	8
Resting arm diastolic BP	7573	 A54	8
Resting arm diastolic BP	7575	 A56	8
Resting arm diastolic BP	7577	 A58	8
Resting arm diastolic BP	7684	 B23	8
Resting arm diastolic BP	7686	 B25	8
Resting arm diastolic BP	7688	 B27	8
Resting arm diastolic BP	8161	 B517	8
Resting arm diastolic BP	8540	 C185	8
Resting arm diastolic BP	8712	 C415	8
Resting arm diastolic BP	8757	 D193	8
Resting arm diastolic BP	8759	 D289	8
Resting arm diastolic BP	8771	 D414	8
Resting arm diastolic BP	9396	 E486	8
Resting arm diastolic BP	9487	 E582	8
Resting arm diastolic BP	9559	 E036	8
Resting arm diastolic BP	9906	 F477	8
Resting arm diastolic BP	10001	 F577	8
Resting arm diastolic BP	10123	 F027	8
Resting arm diastolic BP	10361	 G272	8
Resting arm diastolic BP	10434	 G355	8
Resting arm diastolic BP	10508	 G451	8
Resting arm diastolic BP	21093	 G3A291	8
Resting arm diastolic BP	21148	 G3A348	8
Resting arm diastolic BP	21240	 G3A457	8
Resting arm diastolic BP	55257	 DiasBP	8
Resting arm diastolic BP	55286	 DIAS120	8
Resting arm diastolic BP	55288	 DIAS220	8
Resting arm diastolic BP	55290	 DIAS320	8
Resting arm diastolic BP	56836	 avg23bpd_s2	8
Resting arm diastolic BP	56854	 pm220a2	8
Resting arm diastolic BP	56856	 pm220b2	8
Resting arm diastolic BP	70376	 FU020	8
Resting arm diastolic BP	70501	 FU196	8
Resting arm diastolic BP	70558	 FU271	8
Resting arm diastolic BP	72139	 H112	8
Resting arm diastolic BP	72213	 H234	8
Resting arm diastolic BP	177354	 g3b0151	8
Resting arm diastolic BP	177419	 g3b0282	8
Resting arm diastolic BP	250294	 e036	8
Resting arm diastolic BP	250562	 e486	8
Resting arm diastolic BP	250653	 e582	8
Resting arm diastolic BP	250916	 g272	8
Resting arm diastolic BP	250995	 g355	8
Resting arm diastolic BP	251071	 g451	8
Resting arm diastolic BP	251342	 h112	8
Resting arm diastolic BP	251409	 h234	8
Resting arm diastolic BP	254089	 j118	8
Resting arm diastolic BP	254156	 j257	8
Resting arm diastolic BP	254611	 fv020	8
Resting arm diastolic BP	254708	 fv154	8
Resting arm diastolic BP	254769	 fv264	8
Resting arm diastolic BP	255003	 fw022	8
Resting arm diastolic BP	255099	 fw176	8
Resting arm diastolic BP	273915	 g3a291	8
Resting arm diastolic BP	273970	 g3a348	8
Resting arm diastolic BP	274062	 g3a457	8
Resting arm diastolic BP	274408	 g3a291	8
Resting arm diastolic BP	274463	 g3a348	8
Resting arm diastolic BP	274553	 g3a457	8
Resting arm diastolic BP	274723	 FX022	8
Resting arm diastolic BP	274824	 FX176	8
Resting arm diastolic BP	275080	 fy022	8
Resting arm diastolic BP	275181	 fy176	8
Resting arm diastolic BP	276848	 CHF036	8
Resting arm diastolic BP	277034	 DBP1	8
Resting arm diastolic BP	277035	 DBP2	8
Resting arm diastolic BP	277137	 DBP1	8
Resting arm diastolic BP	277138	 DBP2	8
Resting arm diastolic BP	277139	 DBP3	8
Resting arm diastolic BP	277140	 DBP4	8
Resting arm diastolic BP	277141	 DBP5	8
Resting arm diastolic BP	277142	 DBP6	8
Resting arm diastolic BP	277143	 DBP7	8
Resting arm diastolic BP	277144	 DBP8	8
Resting arm diastolic BP	277145	 DBP9	8
Resting arm diastolic BP	55183	 WT019	8
Resting arm diastolic BP	56858	 pm220c2	8
Resting arm diastolic BP	8631	 C287	8
HDL in blood	1207	 FB30	2
HDL in blood	1382	 FC24	2
HDL in blood	1399	 FC43	2
HDL in blood	1582	 FD37	2
HDL in blood	1589	 FD44	2
HDL in blood	2656	 FH333	2
HDL in blood	4519	 FM544	2
HDL in blood	5552	 FO732	2
HDL in blood	6028	 FP596	2
HDL in blood	6320	 FQ397	2
HDL in blood	6660	 FR438	2
HDL in blood	6667	 FS534	2
HDL in blood	7528	 FT544	2
HDL in blood	7972	 B354	2
HDL in blood	7973	 B355	2
HDL in blood	8728	 C431	2
HDL in blood	9122	 D449	2
HDL in blood	9574	 E668	2
HDL in blood	10134	 F725	2
HDL in blood	10141	 G703	2
HDL in blood	21392	 G3A713	2
HDL in blood	24693	 HDLP5	2
HDL in blood	24694	 HDLP4	2
HDL in blood	24695	 HDLP3	2
HDL in blood	24696	 HDLP2	2
HDL in blood	24697	 HDLP1	2
HDL in blood	55263	 HDL	2
HDL in blood	70732	 FU577	2
HDL in blood	71891	 HDL_CHOL	2
HDL in blood	172176	 HDL	2
HDL in blood	227059	 HDL	2
HDL in blood	255345	 HDL	2
HDL in blood	275405	 HDL	2
HDL in blood	275414	 HDL_CHOL	2
HDL in blood	277040	 HDL1	2
HDL in blood	277041	 HDL2	2
HDL in blood	277162	 HDL1	2
HDL in blood	277163	 HDL2	2
HDL in blood	277164	 HDL3	2
HDL in blood	277165	 HDL4	2
HDL in blood	277166	 HDL5	2
HDL in blood	277167	 HDL6	2
HDL in blood	277168	 HDL7	2
HDL in blood	277169	 HDL8	2
HDL in blood	277170	 HDL9	2
HDL in blood	7537	 A10	2
HDL in blood	24700	 HDLSZ	2
HDL in blood	227018	 HDL	2
Height	539	 MF67	12
Height	540	 MF68	12
Height	680	 MF217	12
Height	681	 MF218	12
Height	744	 MF290	12
Height	745	 MF291	12
Height	1367	 FC7	12
Height	1564	 FD13	12
Height	1808	 FE68	12
Height	2023	 FF64	12
Height	2207	 FG63	12
Height	2428	 FH63	12
Height	2671	 FI15	12
Height	2672	 FI16	12
Height	3245	 FJ361	12
Height	3303	 FK48	12
Height	3669	 FL010	12
Height	4085	 FM20	12
Height	4527	 FN9	12
Height	5542	 FO008	12
Height	5922	 FP008	12
Height	6034	 FQ006	12
Height	6329	 FR006	12
Height	6673	 FS008	12
